benchmark,brick_score,num_samples,input_tokens,output_tokens,total_tokens,cost_if_gptoss120b_eur,cost_if_gptoss20b_eur,cost_if_llama70b_eur,cost_if_mistral32_eur,cost_if_qwen3_8b_eur,cost_if_qwen3coder_eur,cheapest_model,cheapest_cost_eur,costliest_model,costliest_cost_eur
arc_challenge,0.0025597269624573,1172,193728,8657,202385,0.230087,0.023009,0.139611,0.115909,0.016591,0.114178,qwen3_8b,0.016591,gptoss120b,0.230087
bbh,0.3437037037037037,2700,432682,120692,553374,0.939588,0.093959,0.585478,0.481863,0.07253,0.457725,qwen3_8b,0.07253,gptoss120b,0.939588
drop,0.1773499999999999,200,254131,2839,256970,0.266055,0.026605,0.160144,0.133311,0.018783,0.132743,qwen3_8b,0.018783,gptoss120b,0.266055
humaneval,0.0,164,54096,17669,71765,0.128306,0.012831,0.080164,0.06592,0.009971,0.062386,qwen3_8b,0.009971,gptoss120b,0.128306
ifeval,0.7855822550831792,541,43780,213732,257512,0.941454,0.094145,0.603344,0.4921,0.077871,0.449354,qwen3_8b,0.077871,gptoss120b,0.941454
mbpp,0.752,500,346534,36201,382735,0.498578,0.049858,0.305663,0.252909,0.036928,0.245669,qwen3_8b,0.036928,gptoss120b,0.498578
minerva_math,0.1242857142857142,700,534545,34661,569206,0.680121,0.068012,0.414312,0.343527,0.04955,0.336595,qwen3_8b,0.04955,gptoss120b,0.680121
mmlu_pro,0.637260677466863,6790,9403213,821790,10225003,12.854731,1.285473,7.860761,6.509544,0.945851,6.345186,qwen3_8b,0.945851,gptoss120b,12.854731
truthfulqa,0.4700122399020808,817,157523,31971,189494,0.291801,0.02918,0.180836,0.149098,0.022216,0.142703,qwen3_8b,0.022216,gptoss120b,0.291801
